1,RED TV,http://d28d7tc1ojykcy.cloudfront.net/lared/smil:lared.smil/playlist.m3u8|User-agent=iPhone&amp;Referer=http://d1e8b5coppv0r9.cloudfront.net,10
2,UCV,http://unlimited5-cl.digitalproserver.com/ucvtv/ucvtv.smil/playlist.m3u8,10
3,TVN CHILE,http://mdstrm.com/live-stream-playlist/57a498c4d7b86d600e5461cb.m3u8,10
4,MEGAVISION,http://mdstrm.com/live-stream-playlist-v/53d2c1a32640614e62a0e000.m3u8,10
5,CHILEVISION,http://live.hls.http.chv.ztreaming.com/chvhddesktop/chvHi.m3u8,10
6,CHILEVISION,http://live.hls.http.chv.ztreaming.com/chvhddesktop/chv-desktop.m3u8,10
7,CHILEVISION,http://chv.movil.hls.ztreaming.com/chvmovil2/chilevision@140569/chunklist_w36735013.m3u8,10
8,CANAL 13,http://13.live.cdn.cl/13hddesktop/13hd-1250.m3u8,10
9,T13 MOVIL,http://cdn.ztreaming.com/t13vivo3/t13vivo3.m3u8,10
10,CNN Chile,http://unlimited7-cl.dps.live/cnn/cnn.smil/playlist.m3u8,10
11,CNN Chile,http://unlimited1-us.dps.live/cnn/cnn.smil/playlist.m3u8,10
12,Ahora Noticias Digital,http://mdstrm.com/live-stream-playlist/561430ae330428c223687e1e.m3u8,10
13,24HORAS.CL PLAY,http://mdstrm.com/live-stream-playlist/57d1a22064f5d85712b20dab.m3u8,10
14,TV CHILE,http://mdstrm.com/live-stream-playlist/533adcc949386ce765657d7c.m3u8,10
15,Limo TVN,http://mdstrm.com/live-stream-playlist/58cc0bf22d212a64177fddb1.m3u8,10
16,TVN Kids,http://mdstrm.com/live-stream-playlist/5925dba039cfbf492f30b563.m3u8,10
17,TVN REUTERS,http://mdstrm.com/live-stream-playlist/53443c472c6e89675103cc4c.m3u8,10
18,TVN UOCT,http://mdstrm.com/live-stream-playlist/5346f657c1e6f5810b5b9df3.m3u8,10
19,TVN SEÑAL 3,http://mdstrm.com/live-stream-playlist/555c9a91eb4886825b07ee7b.m3u8,10
20,TVN SEÑAL 4,http://mdstrm.com/live-stream-playlist/5346f688db603a8b0dd9aa66.m3u8,10
21,TVN SEÑAL 5,http://mdstrm.com/live-stream-playlist/5346f5f2c1e6f5810b5b9df0.m3u8,10
22,TVN SEÑAL 8,http://mdstrm.com/live-stream-playlist/591f67a4232da1260ac8c950.m3u8,10
23,Camara de Diputados,http://camara.ztreaming.com:80/camara8/streamcam8.sdp/playlist.m3u8,10
24,TV Senado,http://janus-tv-ply.senado.cl/playlist/stream.m3u8?s=tvsenado-hd,10
25,Poder Judicial TV,http://unlimited2-cl.digitalproserver.com/judicial2/judicial2.smil/playlist.m3u8,10
26,Loteria TV,http://unlimited2-cl.digitalproserver.com/loteria/loteria.smil/playlist.m3u8,10
27,NIU TV,http://cl.origin.grupoz.cl/niutv/smil:live.smil/chunklist.m3u8,10
28,DATOVISION,http://149.56.17.92:1935/dato33/dato33/playlist.m3u8,10
29,Trailer TV,http://evo.eltelon.com:1935/trailertv/smil:trailertv.smil/playlist.m3u8,10
30,Trailer TV Kids,http://evo.eltelon.com:1935/trailertvkids/smil:trailertvkids.smil/playlist.m3u8,10
31,CANAL 22 SANTIAGO,http://canal22santiago.cl/playlist.m3u8,12
32,UesTV,http://cl.origin.grupoz.cl/uestv/live/playlist.m3u8,12
33,Señal UC,http://www.senaluc.cl:80/playlist/stream.m3u8?s=vdmfcom,12
34,Canal ISB,http://wow2.cl.digitalproserver.com/isb/isbvivo/isb.smil/playlist.m3u8?,12
35,MaximaTV,http://190.107.176.55:1935/live/maxima-fm/playlist.m3u8,12
36,Arica TV,http://wow2.cl.digitalproserver.com/aricatv/aricatvvivo/aricatv.smil/playlist.m3u8,11
37,MORROVISION Arica,http://video.crearchile.com:8080/live/mp4:morrovision.mp4/playlist.m3u8,11
38,MASTV Arica,http://201.218.145.21:1935/Mastv/myStream/playlist.m3u8,11
39,RTC Television - Iquique,http://cl.streaminghd.cl/cristian285/cristian285/playlist.m3u8,11
40,Canal Antofagasta,http://movilstream.digitalproserver.com/atv/atvvivo/atv.smil/playlist.m3u8,11
41,Holvoet TV,http://unlimited5-cl.dps.live/holvoettv/holvoettv.smil/playlist.m3u8,11
42,Desierto TV,http://unlimited6-cl.dps.live/desiertotv/desiertotv.smil/playlist.m3u8,11
43,Atacama TV,http://cdn.ztreaming.com/tustreaming/live2/playlist.m3u8,11
44,Thema TV,http://wow2.cl.digitalproserver.com/thema/themavivo/thema.smil/playlist.m3u8,11
45,CSS 57 | Melipilla,http://xcanal_cssx.api.channel.livestream.com/3.0/playlist.m3u8,12
46,UCV Gran Valparaíso,http://wow2.cl.digitalproserver.com/ucvtv2/ucvtv2vivo/ucvtv2.smil/playlist.m3u8,12
47,UCV Gran Valparaíso [ALT],http://wow2.cl.digitalproserver.com/ucvtv2/ucvtv2vivo/ucvtv2.smil/chunklist_w324291172_b828000.m3u8,12
48,UCV Gran Valparaíso [ALT-2],http://wow2.cl.digitalproserver.com/ucvtv2/ucvtv2vivo/ucvtv2.smil/chunklist_w1705024129_b828000.m3u8,12
